state,date,office,district,party,votes,uncontested,year
CA,results_national_2018-06-05,U.S. House,49,PFP,129,False,2018
CA,results_national_2018-06-05,U.S. House,50,REP,56705,False,2018
CA,results_national_2018-06-05,U.S. House,50,DEM,31102,False,2018
CA,results_national_2018-06-05,U.S. House,50,NPP,975,False,2018
CA,results_national_2018-06-05,U.S. House,51,DEM,29476,False,2018
CA,results_national_2018-06-05,U.S. House,51,REP,15175,False,2018
CA,results_national_2018-06-05,U.S. House,51,NPP,2287,False,2018
CA,results_national_2018-06-05,U.S. House,53,DEM,54481,False,2018
CA,results_national_2018-06-05,U.S. House,53,REP,31005,False,2018
CA,results_national_2018-06-05,U.S. House,53,NPP,1863,False,2018
CA,results_national_2018-06-05,U.S. House,11,DEM,59001,False,2018
CA,results_national_2018-06-05,U.S. House,11,REP,20354,False,2018
CA,results_national_2018-06-05,U.S. House,11,NPP,2566,False,2018
CA,results_national_2018-06-05,U.S. House,52,DEM,58358,False,2018
CA,results_national_2018-06-05,U.S. House,52,REP,43824,False,2018
IA,results_national_2018-06-05,U.S. House,1,DEM,44098,False,2018
IA,results_national_2018-06-05,U.S. House,1,REP,0,True,2018
IA,results_national_2018-06-05,U.S. House,2,REP,0,True,2018
IA,results_national_2018-06-05,U.S. House,3,DEM,55247,False,2018
IA,results_national_2018-06-05,U.S. House,3,REP,0,True,2018
IA,results_national_2018-06-05,U.S. House,4,DEM,28310,False,2018
IA,results_national_2018-06-05,U.S. House,4,REP,37102,False,2018
IA,results_national_2018-06-05,U.S. House,2,DEM,0,True,2018
IA,results_national_2018-06-05,U.S. House,3,Lib,0,True,2018
IA,results_national_2018-06-05,U.S. House,4,Lib,0,True,2018
MS,results_national_2018-06-05,U.S. House,1,REP,0,True,2018
MS,results_national_2018-06-05,U.S. House,3,REP,63524,False,2018
MS,results_national_2018-06-05,U.S. House,4,REP,42221,False,2018
MS,results_national_2018-06-05,U.S. House,2,DEM,0,True,2018
MS,results_national_2018-06-05,U.S. House,3,DEM,23364,False,2018
MS,results_national_2018-06-05,U.S. House,4,DEM,0,True,2018
MS,results_national_2018-06-05,U.S. House,1,DEM,0,True,2018
MT,results_national_2018-06-05,U.S. House,1,DEM,110639,False,2018
MT,results_national_2018-06-05,U.S. House,1,REP,0,True,2018
MT,results_national_2018-06-05,U.S. House,1,Lib,0,True,2018
MT,results_national_2018-06-05,U.S. House,1,Oth,0,True,2018
NJ,results_national_2018-06-05,U.S. House,1,REP,0,True,2018
NJ,results_national_2018-06-05,U.S. House,2,REP,25901,False,2018
NJ,results_national_2018-06-05,U.S. House,3,REP,0,True,2018
NJ,results_national_2018-06-05,U.S. House,4,REP,0,True,2018
NJ,results_national_2018-06-05,U.S. House,6,REP,0,True,2018
NJ,results_national_2018-06-05,U.S. House,5,REP,31326,False,2018
NJ,results_national_2018-06-05,U.S. House,8,REP,0,True,2018
NJ,results_national_2018-06-05,U.S. House,10,REP,0,True,2018
NJ,results_national_2018-06-05,U.S. House,7,REP,33156,False,2018
NJ,results_national_2018-06-05,U.S. House,12,REP,0,True,2018
NJ,results_national_2018-06-05,U.S. House,9,REP,0,True,2018
NJ,results_national_2018-06-05,U.S. House,11,REP,41974,False,2018
NJ,results_national_2018-06-05,U.S. House,1,DEM,47037,False,2018
NJ,results_national_2018-06-05,U.S. House,2,DEM,28233,False,2018
NJ,results_national_2018-06-05,U.S. House,3,DEM,0,True,2018
NJ,results_national_2018-06-05,U.S. House,4,DEM,29523,False,2018
NJ,results_national_2018-06-05,U.S. House,5,DEM,0,True,2018
NJ,results_national_2018-06-05,U.S. House,6,DEM,27280,False,2018
NJ,results_national_2018-06-05,U.S. House,7,DEM,39008,False,2018
NJ,results_national_2018-06-05,U.S. House,8,DEM,0,True,2018
NJ,results_national_2018-06-05,U.S. House,9,DEM,27085,False,2018
NJ,results_national_2018-06-05,U.S. House,10,DEM,39765,False,2018
NJ,results_national_2018-06-05,U.S. House,11,DEM,44996,False,2018
NJ,results_national_2018-06-05,U.S. House,12,DEM,0,True,2018
NM,results_national_2018-06-05,U.S. House,1,REP,0,True,2018
NM,results_national_2018-06-05,U.S. House,2,REP,32349,False,2018
NM,results_national_2018-06-05,U.S. House,3,REP,0,True,2018
NM,results_national_2018-06-05,U.S. House,2,DEM,34732,False,2018
NM,results_national_2018-06-05,U.S. House,1,DEM,62527,False,2018
NM,results_national_2018-06-05,U.S. House,3,DEM,0,True,2018
SD,results_national_2018-06-05,U.S. House,1,REP,100454,False,2018
SD,results_national_2018-06-05,U.S. House,1,DEM,0,True,2018
