state,district,party,year,votes,candidates
AL,1,REP,2010,75662,2
AL,2,REP,2010,74754,4
AL,2,DEM,2010,0,1
AL,3,REP,2010,0,1
AL,3,DEM,2010,0,1
AL,4,REP,2010,0,1
AL,5,REP,2010,70356,3
AL,5,DEM,2010,45104,4
AL,6,REP,2010,106722,2
AL,7,DEM,2010,85674,4
AL,7,REP,2010,16406,4
AZ,1,REP,2010,71394,8
AZ,1,DEM,2010,46902,1
AZ,2,REP,2010,100472,2
AZ,2,DEM,2010,32503,1
AZ,3,REP,2010,78907,10
AZ,3,DEM,2010,27388,1
AZ,4,DEM,2010,24613,1
AZ,4,REP,2010,13453,2
AZ,5,REP,2010,71652,6
AZ,5,DEM,2010,29716,1
AZ,6,REP,2010,96422,2
AZ,6,DEM,2010,26220,1
AZ,7,DEM,2010,33931,1
AZ,7,REP,2010,30332,5
AZ,8,DEM,2010,55530,1
AZ,8,REP,2010,89211,5
AR,1,REP,2010,20143,2
AR,1,DEM,2010,95835,6
AR,2,REP,2010,39895,2
AR,2,DEM,2010,76572,5
AR,3,REP,2010,62264,8
AR,3,DEM,2010,0,1
AR,4,DEM,2010,0,1
AR,4,REP,2010,17628,2
CA,1,DEM,2010,74695,1
CA,1,REP,2010,46498,2
CA,2,REP,2010,87759,2
CA,2,DEM,2010,42334,1
CA,3,REP,2010,71918,1
CA,3,DEM,2010,49022,1
CA,4,REP,2010,113971,2
CA,4,DEM,2010,50400,1
CA,5,DEM,2010,56762,1
CA,5,REP,2010,25736,2
CA,6,DEM,2010,92204,1
CA,6,REP,2010,40906,2
CA,7,DEM,2010,61398,2
CA,7,REP,2010,26713,4
CA,8,DEM,2010,77175,1
CA,8,REP,2010,12779,2
CA,9,DEM,2010,82951,1
CA,9,REP,2010,10067,1
CA,10,DEM,2010,62138,1
CA,10,REP,2010,46391,2
CA,11,DEM,2010,48772,1
CA,11,REP,2010,67587,4
CA,12,DEM,2010,64770,1
CA,12,REP,2010,20460,1
CA,13,DEM,2010,57624,2
CA,13,REP,2010,19422,2
CA,14,DEM,2010,66978,1
CA,14,REP,2010,33566,2
CA,15,DEM,2010,57662,1
CA,15,REP,2010,33506,3
CA,16,DEM,2010,48757,1
CA,17,DEM,2010,59342,2
CA,17,REP,2010,29107,3
CA,18,DEM,2010,28748,1
CA,18,REP,2010,23978,1
CA,19,REP,2010,73271,4
CA,19,DEM,2010,20452,1
CA,20,DEM,2010,24721,2
CA,20,REP,2010,19588,3
CA,21,REP,2010,55299,1
CA,22,REP,2010,77140,1
CA,23,DEM,2010,52305,1
CA,23,REP,2010,41877,5
CA,24,REP,2010,71041,1
CA,24,DEM,2010,41852,3
CA,25,REP,2010,47544,1
CA,25,DEM,2010,23546,1
CA,26,REP,2010,58620,2
CA,26,DEM,2010,28951,1
CA,27,DEM,2010,31724,1
CA,27,REP,2010,25944,2
CA,28,DEM,2010,31295,2
CA,28,REP,2010,10732,1
CA,29,DEM,2010,31832,1
CA,29,REP,2010,24172,1
CA,30,DEM,2010,55952,1
CA,30,REP,2010,31530,5
CA,31,DEM,2010,20550,1
CA,31,REP,2010,5256,1
CA,32,DEM,2010,21718,1
CA,32,REP,2010,11567,1
CA,33,DEM,2010,48358,4
CA,33,REP,2010,7368,3
CA,34,DEM,2010,20226,2
CA,34,REP,2010,7042,1
CA,35,DEM,2010,32946,1
CA,35,REP,2010,7343,1
CA,36,DEM,2010,45938,2
CA,36,REP,2010,33211,3
CA,37,DEM,2010,33521,4
CA,37,REP,2010,9894,1
CA,38,DEM,2010,22447,1
CA,38,REP,2010,10324,1
CA,39,DEM,2010,23125,1
CA,39,REP,2010,17062,1
CA,40,REP,2010,55351,1
CA,40,DEM,2010,25518,1
CA,41,REP,2010,64069,2
CA,41,DEM,2010,30159,1
CA,42,REP,2010,67004,4
CA,42,DEM,2010,23366,1
CA,43,DEM,2010,18529,1
CA,43,REP,2010,13232,1
CA,44,REP,2010,56321,2
CA,44,DEM,2010,27283,1
CA,45,REP,2010,60921,2
CA,45,DEM,2010,33235,1
CA,46,REP,2010,67156,1
CA,46,DEM,2010,19735,1
CA,47,DEM,2010,17409,1
CA,47,REP,2010,19599,3
CA,48,REP,2010,72658,1
CA,48,DEM,2010,30818,1
CA,49,REP,2010,60447,1
CA,49,DEM,2010,25948,1
CA,50,REP,2010,72605,1
CA,50,DEM,2010,45296,2
CA,51,DEM,2010,40628,1
CA,51,REP,2010,27286,1
CA,52,REP,2010,79861,2
CA,52,DEM,2010,34575,2
CA,53,DEM,2010,42976,1
CA,53,REP,2010,31309,4
CO,1,DEM,2010,57527,1
CO,1,REP,2010,13970,1
CO,2,DEM,2010,47347,1
CO,2,REP,2010,33792,2
CO,3,REP,2010,70560,2
CO,3,DEM,2010,46148,1
CO,4,REP,2010,57358,1
CO,4,DEM,2010,33982,1
CO,5,REP,2010,60906,1
CO,5,DEM,2010,20814,1
CO,6,REP,2010,81067,1
CO,6,DEM,2010,37950,1
CO,7,DEM,2010,40534,1
CO,7,REP,2010,41600,2
CT,1,DEM,2010,0,1
CT,1,REP,2010,19229,3
CT,2,DEM,2010,0,1
CT,2,REP,2010,26260,4
CT,3,DEM,2010,0,1
CT,3,REP,2010,0,3
CT,4,DEM,2010,0,1
CT,4,REP,2010,27537,6
CT,5,DEM,2010,0,1
CT,5,REP,2010,28813,6
FL,1,REP,2010,0,1
FL,2,REP,2010,60328,5
FL,2,DEM,2010,82432,2
FL,3,DEM,2010,44030,2
FL,3,REP,2010,19508,3
FL,4,REP,2010,0,1
FL,5,REP,2010,84555,2
FL,5,DEM,2010,0,1
FL,6,REP,2010,70543,2
FL,7,REP,2010,0,1
FL,7,DEM,2010,0,1
FL,8,REP,2010,61588,7
FL,8,DEM,2010,0,1
FL,9,REP,2010,0,1
FL,9,DEM,2010,28042,2
FL,10,REP,2010,0,1
FL,10,DEM,2010,0,1
FL,11,DEM,2010,34653,2
FL,11,REP,2010,23621,4
FL,12,REP,2010,48148,2
FL,12,DEM,2010,33027,2
FL,13,REP,2010,73714,2
FL,13,DEM,2010,32323,2
FL,14,REP,2010,0,1
FL,14,DEM,2010,0,1
FL,15,REP,2010,0,1
FL,15,DEM,2010,0,1
FL,16,REP,2010,0,1
FL,16,DEM,2010,30747,2
FL,17,DEM,2010,49452,9
FL,18,REP,2010,0,1
FL,18,DEM,2010,0,1
FL,19,DEM,2010,0,1
FL,19,REP,2010,0,1
FL,20,DEM,2010,0,1
FL,20,REP,2010,19023,3
FL,21,REP,2010,0,1
FL,22,REP,2010,39161,2
FL,22,DEM,2010,28425,2
FL,23,DEM,2010,0,1
FL,23,REP,2010,0,1
FL,24,REP,2010,66060,5
FL,24,DEM,2010,36665,2
FL,25,REP,2010,30658,3
FL,25,DEM,2010,16409,2
GA,1,DEM,2010,16828,1
GA,2,DEM,2010,31255,1
GA,3,DEM,2010,18676,1
GA,4,DEM,2010,50913,3
GA,5,DEM,2010,44379,1
GA,7,DEM,2010,15130,1
GA,8,DEM,2010,28819,1
GA,10,DEM,2010,17075,1
GA,12,DEM,2010,33706,2
GA,12,REP,2010,3051,1
GA,13,DEM,2010,45159,3
HI,1,DEM,2010,108606,2
HI,1,REP,2010,22196,3
HI,2,DEM,2010,88803,1
HI,2,REP,2010,16992,3
ID,1,REP,2010,81288,5
ID,1,DEM,2010,11407,1
ID,2,REP,2010,77458,4
ID,2,DEM,2010,13291,1
IL,1,DEM,2010,86055,4
IL,2,DEM,2010,79962,1
IL,2,REP,2010,6632,1
IL,3,DEM,2010,74056,2
IL,3,REP,2010,18520,1
IL,4,DEM,2010,34000,1
IL,4,REP,2010,0,1
IL,5,DEM,2010,56667,1
IL,5,REP,2010,14353,3
IL,6,REP,2010,53081,1
IL,6,DEM,2010,23542,1
IL,7,DEM,2010,78973,4
IL,7,REP,2010,8365,1
IL,8,REP,2010,47306,6
IL,8,DEM,2010,25000,1
IL,9,DEM,2010,62763,1
IL,9,REP,2010,13566,1
IL,10,REP,2010,51773,5
IL,10,DEM,2010,52859,3
IL,11,REP,2010,50626,5
IL,11,DEM,2010,29015,1
IL,12,DEM,2010,44913,1
IL,12,REP,2010,28505,2
IL,13,REP,2010,58294,1
IL,13,DEM,2010,33290,1
IL,14,REP,2010,63673,2
IL,14,DEM,2010,25446,1
IL,15,REP,2010,68621,1
IL,15,DEM,2010,21617,1
IL,16,REP,2010,54060,1
IL,16,DEM,2010,18021,1
IL,17,REP,2010,33659,1
IL,17,DEM,2010,34427,1
IL,18,REP,2010,60653,1
IL,18,DEM,2010,25249,2
IL,19,REP,2010,57043,2
IL,19,DEM,2010,30999,1
IN,1,DEM,2010,41982,1
IN,1,REP,2010,25892,8
IN,2,DEM,2010,26659,1
IN,2,REP,2010,47871,4
IN,4,REP,2010,85951,13
IN,4,DEM,2010,14773,3
IN,5,REP,2010,110443,7
IN,5,DEM,2010,16323,2
IN,6,REP,2010,61381,1
IN,6,DEM,2010,27766,2
IN,7,DEM,2010,29605,4
IN,7,REP,2010,25246,3
IN,8,REP,2010,49673,8
IN,8,DEM,2010,31685,1
IN,9,REP,2010,55371,4
IN,9,DEM,2010,53884,5
IA,1,DEM,2010,12316,1
IA,1,REP,2010,26538,4
IA,2,DEM,2010,13324,1
IA,2,REP,2010,37099,4
IA,3,DEM,2010,13107,1
IA,3,REP,2010,46187,7
IA,4,REP,2010,42605,1
IA,4,DEM,2010,11374,1
IA,5,REP,2010,47117,1
IA,5,DEM,2010,9380,2
KY,1,REP,2010,0,1
KY,1,DEM,2010,0,1
KY,2,REP,2010,0,1
KY,2,DEM,2010,0,1
KY,3,DEM,2010,0,1
KY,3,REP,2010,42484,4
KY,4,REP,2010,0,1
KY,4,DEM,2010,0,1
KY,5,REP,2010,0,1
KY,5,DEM,2010,67206,3
KY,6,DEM,2010,0,1
KY,6,REP,2010,48886,6
LA,1,REP,2010,0,1
LA,1,DEM,2010,0,1
LA,2,DEM,2010,24263,4
LA,2,REP,2010,0,1
LA,3,REP,2010,20953,3
LA,3,DEM,2010,0,1
LA,4,REP,2010,0,1
LA,4,DEM,2010,12510,2
LA,5,REP,2010,15775,2
LA,6,REP,2010,0,1
LA,6,DEM,2010,0,1
LA,7,REP,2010,0,1
ME,1,DEM,2010,57799,1
ME,1,REP,2010,44440,1
ME,2,DEM,2010,45628,1
ME,2,REP,2010,42454,1
MD,1,REP,2010,68636,2
MD,1,DEM,2010,42762,1
