state,district,party,year,votes,candidates
MD,2,DEM,2010,57083,4
MD,2,REP,2010,22624,5
MD,3,DEM,2010,65887,5
MD,3,REP,2010,24574,4
MD,4,DEM,2010,67897,4
MD,4,REP,2010,6828,1
MD,5,DEM,2010,68546,3
MD,5,REP,2010,28935,4
MD,6,REP,2010,70241,5
MD,6,DEM,2010,33054,2
MD,7,DEM,2010,65533,2
MD,7,REP,2010,11288,2
MD,8,DEM,2010,62239,2
MD,8,REP,2010,14697,4
MA,1,DEM,2010,43363,1
MA,1,REP,2010,13354,1
MA,2,DEM,2010,31053,1
MA,2,REP,2010,19183,2
MA,3,DEM,2010,32108,1
MA,3,REP,2010,22251,5
MA,4,DEM,2010,50263,2
MA,4,REP,2010,19579,2
MA,5,DEM,2010,29773,1
MA,5,REP,2010,29479,4
MA,6,DEM,2010,28136,1
MA,6,REP,2010,27110,2
MA,7,DEM,2010,35573,1
MA,7,REP,2010,16684,2
MA,8,DEM,2010,32198,1
MA,9,DEM,2010,65636,2
MA,9,REP,2010,16287,2
MA,10,DEM,2010,58609,2
MA,10,REP,2010,52512,4
MI,1,REP,2010,70996,6
MI,1,DEM,2010,27996,1
MI,2,REP,2010,106479,7
MI,2,DEM,2010,20647,2
MI,3,REP,2010,95594,5
MI,3,DEM,2010,20594,2
MI,4,REP,2010,76619,1
MI,4,DEM,2010,20951,1
MI,5,DEM,2010,44498,2
MI,5,REP,2010,39820,2
MI,6,REP,2010,73842,2
MI,6,DEM,2010,18060,1
MI,7,REP,2010,72702,3
MI,7,DEM,2010,23806,1
MI,8,REP,2010,78047,1
MI,8,DEM,2010,26653,1
MI,9,DEM,2010,37843,1
MI,9,REP,2010,79712,4
MI,10,REP,2010,84426,1
MI,10,DEM,2010,23310,1
MI,11,REP,2010,65688,1
MI,11,DEM,2010,27295,1
MI,12,DEM,2010,56212,2
MI,12,REP,2010,33823,1
MI,13,DEM,2010,47703,6
MI,13,REP,2010,10153,1
MI,14,DEM,2010,44902,1
MI,14,REP,2010,13413,2
MI,15,DEM,2010,40642,1
MI,15,REP,2010,36166,4
MN,1,REP,2010,0,1
MN,2,REP,2010,16151,1
MN,3,REP,2010,0,1
MN,4,REP,2010,6949,1
MN,5,REP,2010,4975,1
MN,6,REP,2010,17237,1
MN,7,REP,2010,18732,2
MN,8,REP,2010,26608,1
MS,1,REP,2010,39054,3
MS,1,DEM,2010,0,1
MS,2,DEM,2010,0,1
MS,2,REP,2010,6420,3
MS,3,REP,2010,0,1
MS,3,DEM,2010,7271,3
MS,4,REP,2010,27219,2
MS,4,DEM,2010,0,1
MO,1,DEM,2010,45587,2
MO,1,REP,2010,16304,3
MO,2,REP,2010,85455,3
MO,2,DEM,2010,24227,1
MO,3,DEM,2010,46140,3
MO,3,REP,2010,35123,3
MO,4,REP,2010,88630,9
MO,4,DEM,2010,32187,2
MO,5,DEM,2010,34117,1
MO,5,REP,2010,34443,5
MO,6,REP,2010,66174,2
MO,6,DEM,2010,30233,1
MO,7,REP,2010,104534,8
MO,7,DEM,2010,14699,2
MO,8,REP,2010,72998,2
MO,8,DEM,2010,27874,1
MO,9,REP,2010,71932,2
NE,1,REP,2010,65619,3
NE,1,DEM,2010,30797,4
NE,2,REP,2010,28617,2
NE,2,DEM,2010,12333,1
NE,3,REP,2010,74469,2
NE,3,DEM,2010,16425,1
NV,1,DEM,2010,0,1
NV,1,REP,2010,26971,8
NV,2,REP,2010,86890,2
NV,2,DEM,2010,41024,3
NV,3,REP,2010,53629,4
NV,3,DEM,2010,39965,2
NH,1,REP,2010,69676,8
NH,1,DEM,2010,19405,1
NH,2,REP,2010,64419,5
NH,2,DEM,2010,35531,2
NJ,1,DEM,2010,16957,2
NJ,1,REP,2010,9698,4
NJ,2,REP,2010,24772,3
NJ,2,DEM,2010,5441,1
NJ,3,REP,2010,28554,2
NJ,3,DEM,2010,15749,2
NJ,4,REP,2010,31562,2
NJ,4,DEM,2010,7976,1
NJ,5,REP,2010,29523,1
NJ,5,DEM,2010,7189,2
NJ,6,DEM,2010,11667,1
NJ,6,REP,2010,13525,2
NJ,7,REP,2010,30657,4
NJ,7,DEM,2010,8176,1
NJ,8,DEM,2010,13213,1
NJ,8,REP,2010,7072,2
NJ,9,DEM,2010,14973,1
NJ,9,REP,2010,10026,3
NJ,10,DEM,2010,22155,1
NJ,10,REP,2010,1061,1
NJ,11,REP,2010,42691,2
NJ,11,DEM,2010,8658,2
NJ,12,DEM,2010,14480,1
NJ,12,REP,2010,16496,2
NJ,13,DEM,2010,18431,2
NJ,13,REP,2010,2436,1
NM,1,DEM,2010,32173,1
NM,1,REP,2010,32743,1
NM,2,REP,2010,38934,2
NM,2,DEM,2010,26321,1
NM,3,DEM,2010,44967,1
NM,3,REP,2010,32673,2
NY,1,DEM,2010,0,1
NY,1,REP,2010,25643,3
NY,2,DEM,2010,0,1
NY,2,REP,2010,0,1
NY,3,REP,2010,24146,2
NY,3,DEM,2010,0,1
NY,4,DEM,2010,0,1
NY,4,REP,2010,22627,3
NY,5,DEM,2010,25652,2
NY,5,REP,2010,4489,1
NY,6,DEM,2010,0,1
NY,6,REP,2010,0,1
NY,7,DEM,2010,0,1
NY,7,REP,2010,0,1
NY,8,DEM,2010,0,1
NY,8,REP,2010,0,1
NY,9,DEM,2010,0,1
NY,9,REP,2010,0,1
NY,10,DEM,2010,31579,2
NY,10,REP,2010,0,1
NY,11,DEM,2010,0,1
NY,11,REP,2010,0,1
NY,12,DEM,2010,0,1
NY,13,REP,2010,14107,2
NY,13,DEM,2010,0,1
NY,14,DEM,2010,40298,2
NY,14,REP,2010,6541,3
NY,15,DEM,2010,50926,6
NY,15,REP,2010,0,1
NY,16,DEM,2010,0,1
NY,16,REP,2010,0,1
NY,17,DEM,2010,0,1
NY,17,REP,2010,7303,2
NY,18,DEM,2010,0,1
NY,18,REP,2010,0,1
NY,19,REP,2010,28097,2
NY,19,DEM,2010,0,1
NY,20,REP,2010,0,1
NY,20,DEM,2010,0,1
NY,21,DEM,2010,0,1
NY,21,REP,2010,0,1
NY,22,DEM,2010,0,1
NY,22,REP,2010,0,1
NY,23,DEM,2010,0,1
NY,23,REP,2010,31971,2
NY,24,REP,2010,0,1
NY,24,DEM,2010,0,1
NY,25,REP,2010,0,1
NY,25,DEM,2010,0,1
NY,26,REP,2010,0,1
NY,26,DEM,2010,0,1
NY,27,DEM,2010,0,1
NY,27,REP,2010,0,1
NY,28,DEM,2010,0,1
NY,28,REP,2010,0,1
NC,1,DEM,2010,63771,2
NC,1,REP,2010,8343,4
NC,2,REP,2010,16641,3
NC,2,DEM,2010,0,1
NC,3,REP,2010,28033,3
NC,3,DEM,2010,0,1
NC,4,DEM,2010,0,1
NC,4,REP,2010,22721,4
NC,5,REP,2010,47813,2
NC,5,DEM,2010,0,1
NC,6,REP,2010,49876,6
NC,6,DEM,2010,0,1
NC,7,DEM,2010,0,1
NC,7,REP,2010,33668,3
NC,8,DEM,2010,39141,2
NC,8,REP,2010,25907,6
NC,9,REP,2010,0,1
NC,9,DEM,2010,0,1
NC,10,REP,2010,43834,4
NC,10,DEM,2010,18898,2
NC,11,DEM,2010,42730,2
NC,11,REP,2010,34933,6
NC,12,DEM,2010,0,1
NC,12,REP,2010,13949,3
NC,13,DEM,2010,0,1
NC,13,REP,2010,17605,4
OH,1,REP,2010,33544,1
OH,1,DEM,2010,24869,2
OH,2,REP,2010,58681,4
OH,2,DEM,2010,25134,3
OH,3,REP,2010,58584,2
OH,3,DEM,2010,31126,5
OH,4,REP,2010,56093,1
OH,4,DEM,2010,18250,1
OH,5,REP,2010,51581,2
OH,5,DEM,2010,18442,1
OH,6,REP,2010,33146,3
OH,6,DEM,2010,50446,2
OH,7,REP,2010,55607,2
OH,7,DEM,2010,27550,3
OH,8,REP,2010,59711,3
OH,8,DEM,2010,18118,1
OH,9,DEM,2010,38893,2
OH,9,REP,2010,29023,2
OH,10,DEM,2010,47976,1
OH,10,REP,2010,21953,2
OH,11,DEM,2010,55941,3
OH,11,REP,2010,237,1
OH,12,REP,2010,62074,2
OH,12,DEM,2010,37802,1
OH,13,DEM,2010,47166,2
OH,13,REP,2010,33328,6
OH,14,REP,2010,39190,1
OH,14,DEM,2010,30454,3
OH,15,REP,2010,48565,3
OH,15,DEM,2010,36435,1
OH,16,REP,2010,61647,4
OH,16,DEM,2010,31507,1
OH,17,DEM,2010,61908,3
OH,17,REP,2010,18019,2
OH,18,REP,2010,52700,8
OH,18,DEM,2010,28743,1
OK,1,REP,2010,62309,6
OK,2,DEM,2010,87935,2
OK,2,REP,2010,24317,6
OK,3,REP,2010,0,1
OK,3,DEM,2010,0,1
OK,4,REP,2010,42182,2
OK,5,REP,2010,55867,7
OK,5,DEM,2010,37206,2
OR,1,DEM,2010,75541,2
OR,1,REP,2010,51903,4
OR,2,REP,2010,74970,1
OR,2,DEM,2010,37609,1
OR,3,DEM,2010,80736,2
OR,3,REP,2010,20007,1
OR,4,REP,2010,12495,1
OR,5,DEM,2010,57282,1
OR,5,REP,2010,22616,1
PA,1,DEM,2010,48505,1
PA,2,DEM,2010,72417,1
PA,2,REP,2010,3781,1
PA,3,REP,2010,54876,6
PA,3,DEM,2010,47696,2
PA,4,DEM,2010,53019,1
PA,4,REP,2010,52697,2
PA,5,REP,2010,52856,1
PA,5,DEM,2010,31120,1
PA,6,REP,2010,44573,2
PA,6,DEM,2010,42456,2
PA,7,REP,2010,48604,1
PA,7,DEM,2010,39206,1
PA,8,REP,2010,43873,4
PA,8,DEM,2010,40783,1
PA,9,REP,2010,56828,1
PA,9,DEM,2010,0,1
PA,10,REP,2010,59649,3
PA,10,DEM,2010,38928,1
PA,11,REP,2010,28397,1
PA,11,DEM,2010,68686,3
PA,12,DEM,2010,82307,3
PA,12,REP,2010,46655,2
PA,13,DEM,2010,44402,1
PA,13,REP,2010,30043,3
PA,14,DEM,2010,71511,1
PA,14,REP,2010,11585,1
PA,15,REP,2010,38132,2
PA,15,DEM,2010,32825,1
PA,16,REP,2010,50629,1
PA,16,DEM,2010,24541,1
PA,17,DEM,2010,46926,2
PA,17,REP,2010,64060,4
PA,18,REP,2010,47785,1
PA,18,DEM,2010,58081,1
PA,19,REP,2010,74002,2
PA,19,DEM,2010,33283,1
RI,1,DEM,2010,45415,3
RI,1,REP,2010,7798,2
RI,2,DEM,2010,29436,2
RI,2,REP,2010,10340,4
SC,1,REP,2010,80845,9
SC,1,DEM,2010,18968,2
SC,2,REP,2010,77896,2
SC,2,DEM,2010,0,1
SC,3,REP,2010,82551,6
SC,3,DEM,2010,16190,2
SC,4,REP,2010,86948,5
SC,4,DEM,2010,0,1
SC,5,REP,2010,0,1
SC,5,DEM,2010,0,1
SC,6,DEM,2010,55665,2
SC,6,REP,2010,32107,3
TN,1,REP,2010,82408,2
TN,1,DEM,2010,9012,1
TN,2,REP,2010,92414,1
TN,2,DEM,2010,9778,1
TN,3,REP,2010,90113,10
TN,3,DEM,2010,17997,4
TN,4,REP,2010,74874,5
TN,4,DEM,2010,41573,1
TN,5,DEM,2010,32087,3
TN,5,REP,2010,43379,11
TN,6,REP,2010,79889,7
TN,6,DEM,2010,31149,5
TN,7,REP,2010,97088,1
TN,7,DEM,2010,23235,1
TN,8,REP,2010,72235,5
TN,8,DEM,2010,40110,2
TN,9,DEM,2010,80555,2
TN,9,REP,2010,21659,3
TX,1,REP,2010,54478,1
TX,2,REP,2010,39685,1
TX,3,REP,2010,40661,1
TX,3,DEM,2010,5306,1
TX,4,REP,2010,69004,6
TX,4,DEM,2010,13783,1
TX,5,REP,2010,49295,1
TX,5,DEM,2010,17262,1
TX,6,REP,2010,46095,1
TX,6,DEM,2010,8743,1
TX,7,REP,2010,43567,1
TX,8,REP,2010,66316,4
TX,8,DEM,2010,15030,1
TX,9,DEM,2010,21465,1
TX,9,REP,2010,6946,2
TX,10,REP,2010,56575,3
TX,10,DEM,2010,15373,1
TX,11,REP,2010,71876,3
TX,11,DEM,2010,8378,1
TX,12,REP,2010,57629,3
TX,12,DEM,2010,6849,1
TX,13,REP,2010,59070,1
TX,14,REP,2010,56941,4
TX,14,DEM,2010,16452,3
TX,15,DEM,2010,44712,2
TX,15,REP,2010,12912,3
TX,16,DEM,2010,26066,1
TX,16,REP,2010,9817,1
TX,17,REP,2010,65000,5
TX,17,DEM,2010,11244,1
TX,18,DEM,2010,32211,3
TX,18,REP,2010,9130,3
TX,19,REP,2010,63780,1
TX,19,DEM,2010,8256,1
TX,20,DEM,2010,16935,1
TX,20,REP,2010,11824,4
TX,21,REP,2010,76089,2
TX,21,DEM,2010,14773,1
TX,22,REP,2010,43418,1
TX,22,DEM,2010,14281,3
TX,23,REP,2010,28763,5
TX,23,DEM,2010,40903,2
TX,24,REP,2010,39581,2
TX,25,DEM,2010,29949,1
TX,25,REP,2010,34496,2
TX,26,REP,2010,51331,2
TX,26,DEM,2010,7450,1
TX,27,REP,2010,19654,4
TX,27,DEM,2010,21948,1
TX,28,DEM,2010,48634,1
TX,28,REP,2010,18421,2
TX,29,DEM,2010,9567,1
TX,29,REP,2010,7089,5
TX,30,DEM,2010,23725,1
TX,30,REP,2010,7434,3
TX,31,REP,2010,58231,2
TX,32,REP,2010,36446,2
TX,32,DEM,2010,7461,1
UT,1,REP,2010,0,2
UT,1,DEM,2010,0,1
UT,2,DEM,2010,34294,2
UT,2,REP,2010,0,3
UT,3,REP,2010,0,1
UT,3,DEM,2010,0,1
VA,1,REP,2010,32919,2
VA,1,DEM,2010,0,1
VA,2,REP,2010,36442,6
VA,2,DEM,2010,0,1
VA,3,DEM,2010,0,1
VA,3,REP,2010,0,1
VA,4,REP,2010,0,1
VA,4,DEM,2010,0,1
VA,5,REP,2010,35352,7
VA,5,DEM,2010,0,1
VA,6,REP,2010,0,1
VA,7,REP,2010,0,1
VA,7,DEM,2010,0,1
VA,8,DEM,2010,0,1
VA,8,REP,2010,13790,2
VA,9,REP,2010,0,7
VA,9,DEM,2010,0,1
VA,10,REP,2010,0,1
VA,10,DEM,2010,0,1
VA,11,DEM,2010,0,1
VA,11,REP,2010,35890,2
WA,1,DEM,2010,90208,1
WA,1,REP,2010,64454,2
WA,2,DEM,2010,91909,3
WA,2,REP,2010,83598,2
WA,3,REP,2010,88617,3
WA,3,DEM,2010,70348,2
WA,4,REP,2010,92123,2
WA,4,DEM,2010,31782,1
WA,5,REP,2010,106191,1
WA,5,DEM,2010,52985,4
WA,6,DEM,2010,90596,1
WA,6,REP,2010,69369,2
WA,7,DEM,2010,125050,4
WA,8,REP,2010,93785,3
WA,8,DEM,2010,63751,4
WA,9,DEM,2010,63866,1
WA,9,REP,2010,56625,2
WV,1,REP,2010,42409,6
WV,1,DEM,2010,64635,2
WV,2,REP,2010,27958,1
WV,2,DEM,2010,29579,1
WV,3,DEM,2010,66549,2
WV,3,REP,2010,16823,4
WI,1,REP,2010,76542,1
WI,1,DEM,2010,18657,1
WI,2,DEM,2010,38041,1
WI,2,REP,2010,47668,2
WI,3,DEM,2010,24514,1
WI,3,REP,2010,53528,2
WI,4,DEM,2010,39537,2
WI,4,REP,2010,25241,2
WI,5,REP,2010,119713,1
WI,5,DEM,2010,18242,1
WI,6,REP,2010,77992,1
WI,6,DEM,2010,17405,1
WI,7,REP,2010,62107,2
WI,7,DEM,2010,33505,2
WI,8,REP,2010,80300,4
WI,8,DEM,2010,23307,1
