CD,Incumbent,Party,Clinton,Trump,2016Winner,IncumbentRunning
TX-33,"Veasey, Marc",D,72.9,23.75,Obama,Y
TX-34,"Vela, Filemon",D,59.19,37.66,Obama,Y
TX-35,"Doggett, Lloyd",D,64.08,30.48,Obama,Y
TX-36,"Babin, Brian",R,25.24,71.99,Romney,Y
UT-01,"Bishop, Rob",R,22.37,49.74,Romney,Y
UT-02,"Stewart, Chris",R,31.97,46.01,Romney,Y
UT-03,"Curtis, John",R,23.27,47.18,Romney,Y
UT-04,"Love, Mia",R,32.38,39.1,Romney,Y
VA-01,"Wittman, Rob",R,41.22,53.63,Romney,Y
VA-02,"Taylor, Scott",R,45.4,48.8,Romney,Y
VA-03,"Scott, Bobby",D,63.62,31.87,Obama,Y
VA-04,"McEachin, Donald",D,58.66,37.15,Obama,Y
VA-05,"Garrett, Tom",R,42.33,53.42,Romney,N
VA-06,"Goodlatte, Bob",R,34.9,59.71,Romney,N
VA-07,"Brat, Dave",R,44,50.5,Romney,Y
VA-08,"Beyer, Don",D,73.51,20.89,Obama,Y
VA-09,"Griffith, Morgan",R,27.3,68.77,Romney,Y
VA-10,"Comstock, Barbara",R,52.17,42.24,Romney,Y
VA-11,"Connolly, Gerry",D,66.93,27.51,Obama,Y
VT-AL,"Welch, Peter",D,55.72,29.76,Obama,Y
WA-01,"DelBene, Suzan",D,54.13,37.85,Obama,Y
WA-02,"Larsen, Rick",D,56.92,34.82,Obama,Y
WA-03,"Herrera Beutler, Jaime",R,42.52,49.93,Romney,Y
WA-04,"Newhouse, Dan",R,35.06,57.92,Romney,Y
WA-05,"McMorris Rodgers, Cathy",R,39.14,52.17,Romney,Y
WA-06,"Kilmer, Derek",D,51.83,39.48,Obama,Y
WA-07,"Jayapal, Pramila",D,82.13,12.18,Obama,Y
WA-08,"Reichert, David",R,47.72,44.67,Obama,N
WA-09,"Smith, Adam",D,70.47,23.34,Obama,Y
WA-10,"Heck, Denny",D,51.25,39.9,Obama,Y
WI-01,"Ryan, Paul",R,42.26,52.64,Romney,N
WI-02,"Pocan, Mark",D,65.77,28.97,Obama,Y
WI-03,"Kind, Ron",D,44.78,49.28,Obama,Y
WI-04,"Moore, Gwen",D,73.96,21.81,Obama,Y
WI-05,"Sensenbrenner, Jim",R,37.29,57.44,Romney,Y
WI-06,"Grothman, Glenn",R,38.83,55.67,Romney,Y
WI-07,"Duffy, Sean",R,37.28,57.72,Romney,Y
WI-08,"Gallagher, Mike",R,38.61,56.18,Romney,Y
WV-01,"McKinley, David",R,26.4,68.04,Romney,Y
WV-02,"Mooney, Alex",R,29.36,65.8,Romney,Y
WV-03,"Jenkins, Evan",R,23.26,72.53,Romney,N
WY-AL,"Cheney, Liz",R,22.48,70.06,Romney,Y
