CD,Incumbent,Party,Clinton,Trump,2016Winner,IncumbentRunning
NY-02,"King, Peter",R,43.95,52.96,Obama,Y
NY-03,"Suozzi, Tom",D,51.64,45.45,Obama,Y
NY-04,"Rice, Kathleen",D,53.4,43.78,Obama,Y
NY-05,"Meeks, Gregory",D,85.71,12.68,Obama,Y
NY-06,"Meng, Grace",D,65.11,32.08,Obama,Y
NY-07,"Velazquez, Nydia",D,86.89,10.37,Obama,Y
NY-08,"Jeffries, Hakeem",D,84.61,13.48,Obama,Y
NY-09,"Clarke, Yvette",D,83.46,14.42,Obama,Y
NY-10,"Nadler, Jerrold",D,78.3,18.77,Obama,Y
NY-11,"Donovan, Dan",R,43.79,53.62,Obama,Y
NY-12,"Maloney, Carolyn",D,83.28,13.48,Obama,Y
NY-13,"Espaillat, Adriano",D,92.29,5.44,Obama,Y
NY-14,"Crowley, Joe",D,77.68,19.78,Obama,Y
NY-15,"Serrano, Jose",D,93.77,4.9,Obama,Y
NY-16,"Engel, Eliot",D,75.11,22.46,Obama,Y
NY-17,"Lowey, Nita",D,58.59,38.44,Obama,Y
NY-18,"Maloney, Sean",D,47.09,49,Obama,Y
NY-19,"Faso, John",R,43.99,50.79,Obama,Y
NY-20,"Tonko, Paul",D,53.95,40.47,Obama,Y
NY-21,"Stefanik, Elise",R,39.99,53.85,Obama,Y
NY-22,"Tenney, Claudia",R,39.32,54.81,Romney,Y
NY-23,"Reed, Tom",R,39.66,54.53,Romney,Y
NY-24,"Katko, John",R,48.94,45.29,Obama,Y
